,Date,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag,state
91,2016-09-01,53027,Grays Harbor,183499.5,,,498,,,84.5,,,104,,,0,,,92,,,0,,,127.30740268767376,,,1562.0,,,228964.75687141964,,,498,,,,,,0,wa
92,2016-09-01,53029,Island,407448.0,,,485,,,68.0,,,160,,,8,,,136,,,0,,,205.54500008881888,,,2022.5,,,602805.5392873209,,,485,,,,,,0,wa
93,2016-09-01,53031,Jefferson,434175.0,,,249,,,92.0,,,48,,,0,,,36,,,0,,,204.05758791820512,,,1955.0,,,509524.8188834248,,,249,,,,,,0,wa
94,2016-09-01,53033,King,549975.0,,,3485,,,29.5,,,2504,,,60,,,1152,,,2,,,273.9955092788588,,,2155.0,,,884720.5257331746,,,3487,,,0.0005738880918220947,,,0,wa
95,2016-09-01,53035,Kitsap,365000.0,,,821,,,46.0,,,348,,,8,,,328,,,0,,,177.21500054486054,,,2062.0,,,502504.8370615637,,,821,,,,,,0,wa
96,2016-09-01,53037,Kittitas,395500.0,,,260,,,74.0,,,64,,,0,,,28,,,0,,,200.90655171300332,,,2033.0,,,646038.0434115864,,,260,,,,,,0,wa
97,2016-09-01,53039,Klickitat,379900.0,,,108,,,118.5,,,12,,,0,,,12,,,2,,,167.6741000846432,,,2268.0,,,494723.86486486485,,,110,,,0.0185185185185185,,,0,wa
98,2016-09-01,53041,Lewis,217000.0,,,331,,,72.5,,,92,,,0,,,64,,,1,,,127.40178715703068,,,1741.5,,,280897.51578715886,,,332,,,0.0030211480362537,,,0,wa
99,2016-09-01,53043,Lincoln,195000.0,,,88,,,98.5,,,16,,,0,,,12,,,17,,,92.70833333333334,,,1890.0,,,257331.0760869565,,,105,,,0.1931818181818181,,,0,wa
100,2016-09-01,53045,Mason,249000.0,,,436,,,82.0,,,88,,,4,,,116,,,0,,,150.06345717172326,,,1668.0,,,320309.97061628755,,,436,,,,,,0,wa
101,2016-09-01,53047,Okanogan,281500.0,,,318,,,126.5,,,28,,,0,,,28,,,0,,,173.57357357357358,,,1671.0,,,356510.67633154744,,,318,,,0.0,,,0,wa
102,2016-09-01,53049,Pacific,216000.0,,,236,,,100.0,,,32,,,0,,,40,,,1,,,142.11579868735666,,,1504.0,,,252204.57300631097,,,237,,,0.0042372881355932,,,0,wa
103,2016-09-01,53051,Pend Oreille,237450.0,,,202,,,109.0,,,16,,,0,,,24,,,43,,,140.42134831460675,,,1818.0,,,385292.2448748186,,,245,,,0.2128712871287128,,,0,wa
104,2016-09-01,53053,Pierce,319475.0,,,2367,,,43.0,,,1132,,,48,,,992,,,1,,,162.31769007656675,,,2129.0,,,428303.459228993,,,2368,,,0.0004224757076468103,,,0,wa
105,2016-09-01,53055,San Juan,699000.0,,,312,,,152.0,,,20,,,0,,,36,,,0,,,323.61516034985425,,,2115.0,,,1139806.0442416277,,,312,,,,,,0,wa
106,2016-09-01,53057,Skagit,352000.0,,,511,,,58.5,,,176,,,8,,,120,,,0,,,187.595435599026,,,1933.0,,,491361.359260957,,,511,,,,,,0,wa
107,2016-09-01,53059,Skamania,329500.0,,,34,,,68.5,,,12,,,0,,,4,,,2,,,166.15035738597686,,,2193.0,,,496543.0115830116,,,36,,,0.0588235294117647,,,0,wa
108,2016-09-01,53061,Snohomish,399700.0,,,1487,,,32.0,,,924,,,52,,,608,,,1,,,206.58118619348568,,,1998.0,,,483453.31522082526,,,1488,,,0.0006724949562878278,,,0,wa
109,2016-09-01,53063,Spokane,249900.0,,,1904,,,47.5,,,780,,,36,,,600,,,1677,,,106.36889871109256,,,2426.5,,,314916.87737536326,,,3581,,,0.8807773109243697,,,0,wa
110,2016-09-01,53065,Stevens,241900.0,,,459,,,107.5,,,56,,,0,,,56,,,44,,,123.80341792940683,,,2120.0,,,321890.45889088034,,,503,,,0.0958605664488017,,,0,wa
111,2016-09-01,53067,Thurston,306500.0,,,866,,,49.5,,,344,,,16,,,296,,,0,,,150.1375255511022,,,2108.5,,,365753.0951567393,,,866,,,,,,0,wa
112,2016-09-01,53069,Wahkiakum,299000.0,,,28,,,71.0,,,8,,,0,,,4,,,0,,,135.83972050358605,,,2225.5,,,313348.4279918864,,,28,,,0.0,,,0,wa
