,Date,FIPS_CODE,EMP_NO.
264,2019-10-01,53011,237222.0
265,2019-10-01,53025,46359.0
266,2019-10-01,53033,1258074.0
267,2019-10-01,53035,124332.0
268,2019-10-01,53053,428573.0
269,2019-10-01,53061,427351.0
270,2019-10-01,53065,18006.0
271,2019-10-01,53067,138387.0
272,2019-11-01,53011,237873.0
273,2019-11-01,53025,43333.0
274,2019-11-01,53033,1268644.0
275,2019-11-01,53035,125052.0
276,2019-11-01,53053,428552.0
277,2019-11-01,53061,430499.0
278,2019-11-01,53065,18012.0
279,2019-11-01,53067,138441.0
280,2019-12-01,53011,240437.0
281,2019-12-01,53025,41609.0
282,2019-12-01,53033,1256740.0
283,2019-12-01,53035,126331.0
284,2019-12-01,53053,434241.0
285,2019-12-01,53061,426381.0
286,2019-12-01,53065,18104.0
287,2019-12-01,53067,139621.0
288,2020-01-01,53011,237805.0
289,2020-01-01,53025,40708.0
290,2020-01-01,53033,1269874.0
291,2020-01-01,53035,125621.0
292,2020-01-01,53053,430446.0
293,2020-01-01,53061,430845.0
294,2020-01-01,53065,17586.0
295,2020-01-01,53067,138777.0
296,2020-02-01,53011,239271.0
297,2020-02-01,53025,41868.0
298,2020-02-01,53033,1284834.0
299,2020-02-01,53035,126048.0
300,2020-02-01,53053,433337.0
301,2020-02-01,53061,436066.0
302,2020-02-01,53065,17656.0
303,2020-02-01,53067,139912.0
304,2020-03-01,53011,235572.0
305,2020-03-01,53025,42227.0
306,2020-03-01,53033,1215584.0
307,2020-03-01,53035,124063.0
308,2020-03-01,53053,428716.0
309,2020-03-01,53061,412735.0
310,2020-03-01,53065,17580.0
311,2020-03-01,53067,138361.0
312,2020-04-01,53011,209001.0
313,2020-04-01,53025,41696.0
314,2020-04-01,53033,1064017.0
315,2020-04-01,53035,113559.0
316,2020-04-01,53053,387505.0
317,2020-04-01,53061,361326.0
318,2020-04-01,53065,16100.0
319,2020-04-01,53067,125748.0
320,2020-05-01,53011,210799.0
321,2020-05-01,53025,42909.0
322,2020-05-01,53033,1115593.0
323,2020-05-01,53035,114254.0
324,2020-05-01,53053,388214.0
325,2020-05-01,53061,378718.0
326,2020-05-01,53065,16235.0
327,2020-05-01,53067,126259.0
328,2020-06-01,53011,210464.0
329,2020-06-01,53025,45523.0
330,2020-06-01,53033,1146415.0
331,2020-06-01,53035,115189.0
332,2020-06-01,53053,390202.0
333,2020-06-01,53061,389224.0
334,2020-06-01,53065,16238.0
335,2020-06-01,53067,126863.0
336,2020-07-01,53011,212870.0
337,2020-07-01,53025,45788.0
338,2020-07-01,53033,1165846.0
339,2020-07-01,53035,115558.0
340,2020-07-01,53053,393070.0
341,2020-07-01,53061,395782.0
342,2020-07-01,53065,16175.0
343,2020-07-01,53067,127492.0
344,2020-08-01,53011,214802.0
345,2020-08-01,53025,43942.0
346,2020-08-01,53033,1190777.0
347,2020-08-01,53035,116426.0
348,2020-08-01,53053,394642.0
349,2020-08-01,53061,404335.0
350,2020-08-01,53065,16260.0
351,2020-08-01,53067,128628.0
352,2020-09-01,53011,215870.0
353,2020-09-01,53025,44991.0
354,2020-09-01,53033,1197145.0
355,2020-09-01,53035,116556.0
356,2020-09-01,53053,398046.0
357,2020-09-01,53061,406275.0
358,2020-09-01,53065,16520.0
359,2020-09-01,53067,129874.0
360,2020-10-01,53011,237501.0
361,2020-10-01,53025,44145.0
362,2020-10-01,53033,1204792.0
363,2020-10-01,53035,126930.0
364,2020-10-01,53053,433235.0
365,2020-10-01,53061,408241.0
366,2020-10-01,53065,17994.0
367,2020-10-01,53067,142011.0
368,2020-11-01,53011,221350.0
369,2020-11-01,53025,42407.0
370,2020-11-01,53033,1217833.0
371,2020-11-01,53035,118236.0
372,2020-11-01,53053,405122.0
373,2020-11-01,53061,412810.0
374,2020-11-01,53065,16739.0
375,2020-11-01,53067,132760.0
376,2020-12-01,53011,217441.0
377,2020-12-01,53025,42754.0
378,2020-12-01,53033,1209307.0
379,2020-12-01,53035,117241.0
380,2020-12-01,53053,399332.0
381,2020-12-01,53061,409996.0
382,2020-12-01,53065,16501.0
383,2020-12-01,53067,131694.0
384,2021-01-01,53011,215839.0
385,2021-01-01,53025,43066.0
386,2021-01-01,53033,1216680.0
387,2021-01-01,53035,116019.0
388,2021-01-01,53053,395998.0
389,2021-01-01,53061,412654.0
390,2021-01-01,53065,16456.0
391,2021-01-01,53067,131342.0
392,2021-02-01,53011,217085.0
393,2021-02-01,53025,41979.0
394,2021-02-01,53033,1244839.0
395,2021-02-01,53035,115486.0
396,2021-02-01,53053,399477.0
397,2021-02-01,53061,422585.0
398,2021-02-01,53065,16524.0
399,2021-02-01,53067,131990.0
400,2021-03-01,53011,222017.0
401,2021-03-01,53025,41005.0
402,2021-03-01,53033,1237896.0
403,2021-03-01,53035,118212.0
404,2021-03-01,53053,407609.0
405,2021-03-01,53061,420299.0
406,2021-03-01,53065,17020.0
407,2021-03-01,53067,134895.0
408,2021-04-01,53011,223850.0
409,2021-04-01,53025,41189.0
410,2021-04-01,53033,1240501.0
411,2021-04-01,53035,118615.0
412,2021-04-01,53053,409716.0
413,2021-04-01,53061,421152.0
414,2021-04-01,53065,17308.0
415,2021-04-01,53067,135318.0
416,2021-05-01,53011,227705.0
417,2021-05-01,53025,42509.0
418,2021-05-01,53033,1233898.0
419,2021-05-01,53035,120564.0
420,2021-05-01,53053,415423.0
421,2021-05-01,53061,418726.0
422,2021-05-01,53065,17649.0
423,2021-05-01,53067,137368.0
424,2021-06-01,53011,227139.0
425,2021-06-01,53025,45671.0
426,2021-06-01,53033,1231145.0
427,2021-06-01,53035,119525.0
428,2021-06-01,53053,414653.0
429,2021-06-01,53061,417850.0
430,2021-06-01,53065,17680.0
431,2021-06-01,53067,136913.0
432,2021-07-01,53011,230130.0
433,2021-07-01,53025,47026.0
434,2021-07-01,53033,1249573.0
435,2021-07-01,53035,120874.0
436,2021-07-01,53053,420492.0
437,2021-07-01,53061,424164.0
438,2021-07-01,53065,18081.0
439,2021-07-01,53067,137895.0
440,2021-08-01,53011,231062.0
441,2021-08-01,53025,45169.0
442,2021-08-01,53033,1255212.0
443,2021-08-01,53035,119704.0
444,2021-08-01,53053,420777.0
445,2021-08-01,53061,426219.0
446,2021-08-01,53065,17726.0
447,2021-08-01,53067,137862.0
448,2021-09-01,53011,231348.0
449,2021-09-01,53025,47547.0
450,2021-09-01,53033,1252227.0
451,2021-09-01,53035,121150.0
452,2021-09-01,53053,423146.0
453,2021-09-01,53061,424829.0
454,2021-09-01,53065,17981.0
455,2021-09-01,53067,139109.0
456,2021-10-01,53011,234164.0
457,2021-10-01,53025,46922.0
458,2021-10-01,53033,1241423.0
459,2021-10-01,53035,122368.0
460,2021-10-01,53053,422714.0
461,2021-10-01,53061,421286.0
462,2021-10-01,53065,18157.0
463,2021-10-01,53067,140085.0
464,2021-11-01,53011,240028.0
465,2021-11-01,53025,45715.0
466,2021-11-01,53033,1250054.0
467,2021-11-01,53035,125055.0
468,2021-11-01,53053,431005.0
469,2021-11-01,53061,424025.0
470,2021-11-01,53065,18451.0
471,2021-11-01,53067,143056.0
